Frame,LEFT_SHOULDER_to_LEFT_ELBOW_start_x,LEFT_SHOULDER_to_LEFT_ELBOW_start_y,LEFT_SHOULDER_to_LEFT_ELBOW_end_x,LEFT_SHOULDER_to_LEFT_ELBOW_end_y,LEFT_ELBOW_to_LEFT_WRIST_start_x,LEFT_ELBOW_to_LEFT_WRIST_start_y,LEFT_ELBOW_to_LEFT_WRIST_end_x,LEFT_ELBOW_to_LEFT_WRIST_end_y,RIGHT_SHOULDER_to_RIGHT_ELBOW_start_x,RIGHT_SHOULDER_to_RIGHT_ELBOW_start_y,RIGHT_SHOULDER_to_RIGHT_ELBOW_end_x,RIGHT_SHOULDER_to_RIGHT_ELBOW_end_y,RIGHT_ELBOW_to_RIGHT_WRIST_start_x,RIGHT_ELBOW_to_RIGHT_WRIST_start_y,RIGHT_ELBOW_to_RIGHT_WRIST_end_x,RIGHT_ELBOW_to_RIGHT_WRIST_end_y,LEFT_SHOULDER_to_RIGHT_SHOULDER_start_x,LEFT_SHOULDER_to_RIGHT_SHOULDER_start_y,LEFT_SHOULDER_to_RIGHT_SHOULDER_end_x,LEFT_SHOULDER_to_RIGHT_SHOULDER_end_y,LEFT_HIP_to_RIGHT_HIP_start_x,LEFT_HIP_to_RIGHT_HIP_start_y,LEFT_HIP_to_RIGHT_HIP_end_x,LEFT_HIP_to_RIGHT_HIP_end_y,LEFT_HIP_to_LEFT_KNEE_start_x,LEFT_HIP_to_LEFT_KNEE_start_y,LEFT_HIP_to_LEFT_KNEE_end_x,LEFT_HIP_to_LEFT_KNEE_end_y,LEFT_KNEE_to_LEFT_ANKLE_start_x,LEFT_KNEE_to_LEFT_ANKLE_start_y,LEFT_KNEE_to_LEFT_ANKLE_end_x,LEFT_KNEE_to_LEFT_ANKLE_end_y,RIGHT_HIP_to_RIGHT_KNEE_start_x,RIGHT_HIP_to_RIGHT_KNEE_start_y,RIGHT_HIP_to_RIGHT_KNEE_end_x,RIGHT_HIP_to_RIGHT_KNEE_end_y,RIGHT_KNEE_to_RIGHT_ANKLE_start_x,RIGHT_KNEE_to_RIGHT_ANKLE_start_y,RIGHT_KNEE_to_RIGHT_ANKLE_end_x,RIGHT_KNEE_to_RIGHT_ANKLE_end_y,LEFT_SHOULDER_to_LEFT_HIP_start_x,LEFT_SHOULDER_to_LEFT_HIP_start_y,LEFT_SHOULDER_to_LEFT_HIP_end_x,LEFT_SHOULDER_to_LEFT_HIP_end_y,RIGHT_SHOULDER_to_RIGHT_HIP_start_x,RIGHT_SHOULDER_to_RIGHT_HIP_start_y,RIGHT_SHOULDER_to_RIGHT_HIP_end_x,RIGHT_SHOULDER_to_RIGHT_HIP_end_y,LEFT_HIP_to_RIGHT_HIP_start_x,LEFT_HIP_to_RIGHT_HIP_start_y,LEFT_HIP_to_RIGHT_HIP_end_x,LEFT_HIP_to_RIGHT_HIP_end_y
42,48,343,60,411,60,411,103,398,137,336,199,395,199,395,220,368,48,343,137,336,66,503,120,498,66,503,70,640,70,640,53,772,120,498,109,641,109,641,107,778,48,343,66,503,137,336,120,498,66,503,120,498
43,47,343,56,411,56,411,94,400,137,336,200,392,200,392,220,367,47,343,137,336,65,504,119,499,65,504,70,640,70,640,54,772,119,499,109,641,109,641,107,778,47,343,65,504,137,336,119,499,65,504,119,499
44,47,343,54,411,54,411,93,402,137,335,201,392,201,392,220,367,47,343,137,335,65,504,118,499,65,504,70,640,70,640,54,772,118,499,108,641,108,641,107,779,47,343,65,504,137,335,118,499,65,504,118,499
45,47,343,44,404,44,404,88,397,137,335,202,389,202,389,219,366,47,343,137,335,64,504,118,499,64,504,70,641,70,641,53,772,118,499,108,642,108,642,107,779,47,343,64,504,137,335,118,499,64,504,118,499
46,47,343,45,404,45,404,89,395,137,335,202,388,202,388,218,366,47,343,137,335,63,504,118,499,63,504,70,641,70,641,53,771,118,499,108,642,108,642,107,779,47,343,63,504,137,335,118,499,63,504,118,499
47,66,353,17,384,17,384,45,360,126,345,142,351,142,351,183,320,66,353,126,345,84,519,98,512,84,519,109,644,109,644,117,775,98,512,73,644,73,644,52,779,66,353,84,519,126,345,98,512,84,519,98,512
48,64,356,6,368,6,368,35,357,121,350,143,342,143,342,179,314,64,356,121,350,83,521,93,510,83,521,108,644,108,644,118,775,93,510,72,644,72,644,45,777,64,356,83,521,121,350,93,510,83,521,93,510
49,62,360,4,376,4,376,32,359,124,351,147,336,147,336,180,312,62,360,124,351,76,518,98,510,76,518,86,644,86,644,100,775,98,510,87,644,87,644,62,777,62,360,76,518,124,351,98,510,76,518,98,510
50,62,360,7,379,7,379,33,359,122,351,146,338,146,338,179,314,62,360,122,351,76,520,98,509,76,520,88,645,88,645,106,776,98,509,74,644,74,644,58,777,62,360,76,520,122,351,98,509,76,520,98,509
51,61,361,7,378,7,378,31,358,123,351,148,336,148,336,182,312,61,361,123,351,70,519,100,509,70,519,74,645,74,645,103,775,100,509,96,644,96,644,65,777,61,361,70,519,123,351,100,509,70,519,100,509
52,72,361,10,377,10,377,33,358,114,352,144,340,144,340,180,312,72,361,114,352,79,522,90,509,79,522,113,645,113,645,129,775,90,509,67,644,67,644,45,777,72,361,79,522,114,352,90,509,79,522,90,509
53,69,362,10,378,10,378,34,358,117,352,149,332,149,332,182,312,69,362,117,352,78,524,94,510,78,524,104,645,104,645,117,777,94,510,75,644,75,644,54,777,69,362,78,524,117,352,94,510,78,524,94,510
54,74,363,12,376,12,376,35,358,112,352,150,331,150,331,181,311,74,363,112,352,82,524,88,510,82,524,114,645,114,645,131,777,88,510,65,644,65,644,43,776,74,363,82,524,112,352,88,510,82,524,88,510
55,69,363,12,377,12,377,31,360,113,351,153,327,153,327,180,312,69,363,113,351,82,526,91,510,82,526,107,646,107,646,119,778,91,510,67,644,67,644,47,776,69,363,82,526,113,351,91,510,82,526,91,510
56,68,363,12,378,12,378,32,361,115,351,155,326,155,326,179,312,68,363,115,351,80,526,92,510,80,526,104,645,104,645,119,775,92,510,67,644,67,644,48,775,68,363,80,526,115,351,92,510,80,526,92,510
57,67,363,12,378,12,378,32,362,116,351,157,322,157,322,180,310,67,363,116,351,79,526,93,510,79,526,102,645,102,645,117,774,93,510,70,644,70,644,49,775,67,363,79,526,116,351,93,510,79,526,93,510
58,67,363,13,379,13,379,33,362,117,351,158,322,158,322,180,309,67,363,117,351,79,526,94,510,79,526,102,645,102,645,117,773,94,510,69,644,69,644,49,775,67,363,79,526,117,351,94,510,79,526,94,510
59,67,363,13,379,13,379,34,363,117,351,158,323,158,323,180,309,67,363,117,351,79,526,93,509,79,526,103,645,103,645,118,773,93,509,67,643,67,643,48,775,67,363,79,526,117,351,93,509,79,526,93,509
60,66,363,13,379,13,379,35,363,118,351,155,324,155,324,181,310,66,363,118,351,78,525,94,509,78,525,104,645,104,645,119,773,94,509,67,643,67,643,48,775,66,363,78,525,118,351,94,509,78,525,94,509
61,66,363,12,379,12,379,34,363,118,351,153,325,153,325,181,311,66,363,118,351,78,525,94,509,78,525,103,645,103,645,120,772,94,509,66,643,66,643,47,774,66,363,78,525,118,351,94,509,78,525,94,509
62,66,363,12,379,12,379,34,362,118,351,149,330,149,330,181,311,66,363,118,351,78,525,94,509,78,525,104,645,104,645,121,772,94,509,66,643,66,643,47,774,66,363,78,525,118,351,94,509,78,525,94,509
63,66,363,12,379,12,379,35,363,116,351,147,331,147,331,181,312,66,363,116,351,80,525,92,509,80,525,112,645,112,645,127,772,92,509,64,643,64,643,44,774,66,363,80,525,116,351,92,509,80,525,92,509
64,66,363,12,379,12,379,35,362,115,351,148,331,148,331,182,311,66,363,115,351,80,525,92,509,80,525,110,645,110,645,130,772,92,509,64,643,64,643,43,773,66,363,80,525,115,351,92,509,80,525,92,509
65,65,363,11,379,11,379,35,362,118,351,149,331,149,331,182,311,65,363,118,351,79,525,94,509,79,525,107,645,107,645,127,775,94,509,64,643,64,643,44,773,65,363,79,525,118,351,94,509,79,525,94,509
66,65,364,10,379,10,379,35,361,119,351,149,331,149,331,182,311,65,364,119,351,78,525,97,509,78,525,103,645,103,645,123,777,97,509,73,643,73,643,54,774,65,364,78,525,119,351,97,509,78,525,97,509
67,65,364,10,378,10,378,35,362,120,351,149,332,149,332,183,311,65,364,120,351,78,525,97,509,78,525,102,645,102,645,122,777,97,509,71,643,71,643,51,774,65,364,78,525,120,351,97,509,78,525,97,509
68,65,364,11,378,11,378,35,362,121,351,149,332,149,332,183,311,65,364,121,351,77,525,97,509,77,525,101,645,101,645,121,778,97,509,75,643,75,643,50,774,65,364,77,525,121,351,97,509,77,525,97,509
69,65,364,11,378,11,378,35,362,121,351,149,332,149,332,183,311,65,364,121,351,77,525,98,509,77,525,101,645,101,645,122,776,98,509,76,643,76,643,49,774,65,364,77,525,121,351,98,509,77,525,98,509
70,65,364,11,377,11,377,35,362,121,351,149,332,149,332,183,311,65,364,121,351,77,525,98,509,77,525,101,645,101,645,122,775,98,509,76,643,76,643,48,774,65,364,77,525,121,351,98,509,77,525,98,509
71,64,363,10,377,10,377,35,362,121,351,149,333,149,333,183,311,64,363,121,351,73,518,99,509,73,518,84,645,84,645,113,776,99,509,80,643,80,643,61,774,64,363,73,518,121,351,99,509,73,518,99,509
72,64,363,10,377,10,377,35,362,122,351,149,333,149,333,183,311,64,363,122,351,71,516,99,509,71,516,80,645,80,645,111,777,99,509,91,643,91,643,64,775,64,363,71,516,122,351,99,509,71,516,99,509
73,64,363,9,377,9,377,34,362,122,351,149,333,149,333,183,311,64,363,122,351,71,516,99,509,71,516,81,645,81,645,111,777,99,509,89,643,89,643,64,775,64,363,71,516,122,351,99,509,71,516,99,509
74,64,363,10,377,10,377,33,362,122,351,150,333,150,333,183,311,64,363,122,351,71,516,99,509,71,516,82,645,82,645,111,777,99,509,88,643,88,643,63,775,64,363,71,516,122,351,99,509,71,516,99,509
75,64,363,10,377,10,377,33,362,122,351,149,335,149,335,183,311,64,363,122,351,70,516,100,509,70,516,76,645,76,645,100,777,100,509,95,643,95,643,71,775,64,363,70,516,122,351,100,509,70,516,100,509
76,65,363,9,377,9,377,32,362,122,351,149,335,149,335,184,311,65,363,122,351,69,516,100,509,69,516,74,645,74,645,96,777,100,509,97,643,97,643,73,776,65,363,69,516,122,351,100,509,69,516,100,509
